,cidade,latitude,longitude
597,Bituruna,-26.1607,-51.5518
598,Boa Esperança do Iguaçu,-25.6324,-53.2108
599,Boa Esperança do Sul,-21.9918,-48.3906
600,Boa Hora,-4.41404,-42.1357
601,Boa Nova,-14.3598,-40.2064
602,Boa Ventura,-7.40982,-38.2113
603,Boa Ventura de São Roque,-24.8688,-51.6276
604,Boa Viagem,-5.11258,-39.7337
605,Boa Vista da Aparecida,-25.4308,-53.4117
606,Boa Vista das Missões,-27.6671,-53.3102
607,Boa Vista do Buricá,-27.6693,-54.1082
608,Boa Vista do Cadeado,-28.5791,-53.8108
609,Boa Vista do Gurupi,-1.77614,-46.3002
610,Boa Vista do Incra,-28.8185,-53.39100000000001
611,Boa Vista do Ramos,-2.9740900000000003,-57.5873
612,Boa Vista do Sul,-29.3544,-51.6687
613,Boa Vista do Tupim,-12.6498,-40.6064
614,Boca da Mata,-9.64308,-36.2125
615,Bocaina,-6.94124,-41.3168
616,Bocaina,-22.1365,-48.523
617,Bocaina de Minas,-22.1697,-44.3972
618,Bocaina do Sul,-27.7455,-49.9423
619,Bocaiúva,-17.1135,-43.8104
620,Bocaiúva do Sul,-25.2066,-49.1141
621,Bodó,-5.98027,-36.4167
622,Bodocó,-7.777589999999999,-39.9338
623,Bodoquena,-20.537,-56.7127
624,Bofete,-23.1055,-48.2582
625,Boituva,-23.2855,-47.6786
626,Bom Conselho,-9.16919,-36.6857
627,Bom Jardim,-22.1545,-42.4251
628,Bom Jardim,-7.79695,-35.5784
629,Bom Jardim,-3.54129,-45.606
630,Bom Jardim da Serra,-28.3377,-49.6373
631,Bom Jardim de Goiás,-16.2063,-52.1728
632,Bom Jardim de Minas,-21.9479,-44.1885
633,Bom Jesus,-26.7326,-52.3919
634,Bom Jesus,-28.6697,-50.4295
635,Bom Jesus,-9.07124,-44.359
636,Bom Jesus,-5.98648,-35.5792
637,Bom Jesus,-6.81601,-38.6453
638,Bom Jesus da Lapa,-13.2506,-43.4108
639,Bom Jesus da Penha,-21.0148,-46.5174
640,Bom Jesus da Serra,-14.3663,-40.5126
641,Bom Jesus das Selvas,-4.476380000000002,-46.8641
642,Bom Jesus de Goiás,-18.2173,-49.74
643,Bom Jesus do Amparo,-19.7054,-43.4782
